Year,Month,Day,Hour,Minute,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Precipitable Water
2018,1,1,1,0,-16.7,-23.3,59,101800,0,0,176,0,0,0,0,0,0,0,330,2.6,0,0,16.0,77777,20
2018,1,1,2,0,-17.9,-23.4,64,101900,0,0,173,0,0,0,0,0,0,0,340,0.2,0,0,16.1,77777,20
2018,1,1,3,0,-18.6,-23.9,65,101900,0,0,171,0,0,0,0,0,0,0,340,1.6,0,0,16.1,77777,20
2018,1,1,4,0,-20.1,-24.2,72,101800,0,0,166,0,0,0,0,0,0,0,320,2.4,0,0,16.1,77777,20
2018,1,1,5,0,-20.4,-25.5,66,101800,0,0,165,0,0,0,0,0,0,0,310,3.5,0,0,16.1,77777,20
2018,1,1,6,0,-19.5,-25.1,64,101900,0,0,167,0,0,0,0,0,0,0,320,0.5,0,0,16.1,77777,20
2018,1,1,7,0,-20.0,-25.6,64,101900,0,0,166,0,0,0,0,0,0,0,320,3.6,0,0,16.0,77777,20
2018,1,1,8,0,-19.1,-24.9,63,102000,42,840,169,22,266,14,2425,0,1566,59,310,4.1,0,0,16.1,77777,20
2018,1,1,9,0,-17.0,-24.3,56,102000,237,1411,175,137,532,48,15500,9737,5422,215,310,4.6,0,0,16.1,77777,20
2018,1,1,10,0,-15.3,-23.8,51,102000,408,1411,180,271,699,69,31411,32431,8022,331,320,6.7,0,0,16.1,77777,20
2018,1,1,11,0,-13.6,-23.2,48,102000,527,1411,185,372,780,81,43812,44169,9521,403,320,3.5,0,0,16.1,77777,20
2018,1,1,12,0,-12.1,-22.8,44,101900,586,1411,190,423,813,86,50212,48730,10195,437,340,3.5,0,0,16.1,77777,20
2018,1,1,13,0,-11.7,-22.8,43,101800,580,1411,191,418,810,85,49551,48287,10118,433,330,5.7,0,0,16.0,77777,20
2018,1,1,14,0,-11.1,-22.8,41,101800,510,1411,193,357,770,79,41951,42652,9306,393,330,7.5,0,0,16.1,77777,20
2018,1,1,15,0,-11.1,-22.8,41,101900,380,1411,193,248,676,66,28654,29142,7643,313,320,6.0,0,0,16.1,77777,20
2018,1,1,16,0,-11.3,-22.7,42,101900,201,1411,192,112,489,42,12590,4421,4756,187,330,4.4,0,0,16.1,77777,20
2018,1,1,17,0,-12.4,-22.2,47,101900,21,591,189,7,451,0,1011,0,34,1,310,3.1,0,0,16.1,77777,20
2018,1,1,18,0,-13.5,-22.1,51,101900,0,0,186,0,0,0,0,0,0,0,270,0.4,0,0,16.1,77777,20
2018,1,1,19,0,-14.4,-21.7,56,101900,0,0,184,0,0,0,0,0,0,0,270,2.6,0,0,16.0,77777,20
2018,1,1,20,0,-15.0,-22.0,58,101900,0,0,182,0,0,0,0,0,0,0,290,2.0,0,0,16.1,77777,20
2018,1,1,21,0,-15.8,-22.1,61,101900,0,0,180,0,0,0,0,0,0,0,290,1.7,0,0,16.1,77777,20
2018,1,1,22,0,-16.5,-21.8,65,101900,0,0,178,0,0,0,0,0,0,0,220,2.6,0,0,16.1,77777,20
2018,1,1,23,0,-16.1,-22.3,61,101900,0,0,179,0,0,0,0,0,0,0,190,2.4,0,0,16.1,77777,20
2018,1,1,24,0,-18.7,-22.5,73,101800,0,0,171,0,0,0,0,0,0,0,240,1.5,0,0,16.1,77777,20
2018,1,2,1,0,-20.6,-22.8,83,101800,0,0,173,0,0,0,0,0,0,0,170,0.0,3,3,16.0,77777,20
2018,1,2,2,0,-20.8,-23.1,83,101800,0,0,171,0,0,0,0,0,0,0,220,0.2,2,2,16.1,77777,20
2018,1,2,3,0,-19.2,-22.1,79,101900,0,0,170,0,0,0,0,0,0,0,220,1.6,0,0,16.1,77777,20
2018,1,2,4,0,-18.2,-21.5,76,101900,0,0,181,0,0,0,0,0,0,0,240,1.8,3,3,16.1,77777,20
2018,1,2,5,0,-17.5,-20.6,78,101900,0,0,184,0,0,0,0,0,0,0,320,0.5,3,3,16.1,77777,20
2018,1,2,6,0,-15.7,-20.6,68,102000,0,0,189,0,0,0,0,0,0,0,320,3.4,3,3,16.1,77777,20
2018,1,2,7,0,-16.1,-20.6,70,102100,0,0,188,0,0,0,0,0,0,0,310,2.1,3,3,16.0,77777,20
2018,1,2,8,0,-15.8,-20.4,69,102100,41,838,189,18,126,15,2012,0,1608,61,230,0.2,3,3,16.1,77777,20
2018,1,2,9,0,-13.6,-19.3,64,102100,237,1411,196,105,252,63,11645,6434,6985,283,230,1.7,3,3,16.1,77777,20
2018,1,2,10,0,-11.4,-18.8,56,102100,408,1411,203,215,376,107,24104,21467,11976,511,310,3.0,3,3,16.1,77777,20
2018,1,2,11,0,-9.2,-18.1,50,102100,528,1411,214,283,369,145,31801,26181,16319,723,290,2.2,5,5,16.1,77777,30
2018,1,2,12,0,-8.2,-17.1,51,102000,588,1411,220,302,313,171,33878,24135,19331,874,350,2.2,6,6,16.1,7620,30
2018,1,2,13,0,-7.8,-16.7,51,101900,582,1411,228,261,197,180,29176,15514,20204,917,280,0.0,8,8,16.0,7162,30
2018,1,2,14,0,-6.2,-16.0,48,101800,512,1411,228,257,303,147,28749,21508,16516,732,280,3.5,6,6,16.1,4800,30
2018,1,2,15,0,-6.6,-15.6,50,101800,383,1411,225,186,295,106,20643,16258,11791,502,230,3.2,5,5,16.1,6096,30
2018,1,2,16,0,-6.2,-15.5,49,101700,204,1411,225,91,258,53,10016,3968,5911,236,220,3.5,4,4,16.1,77777,30
2018,1,2,17,0,-6.8,-14.9,54,101700,23,611,222,8,129,6,921,0,685,25,210,3.1,3,3,16.1,77777,30
2018,1,2,18,0,-7.5,-14.5,58,101700,0,0,220,0,0,0,0,0,0,0,210,3.2,3,3,16.1,77777,30
2018,1,2,19,0,-8.9,-15.0,62,101700,0,0,215,0,0,0,0,0,0,0,160,3.6,3,3,16.0,77777,30
2018,1,2,20,0,-9.2,-15.0,64,101700,0,0,209,0,0,0,0,0,0,0,160,3.9,1,1,16.1,77777,30
2018,1,2,21,0,-9.3,-15.0,64,101700,0,0,204,0,0,0,0,0,0,0,160,4.0,0,0,16.1,77777,30
2018,1,2,22,0,-9.2,-15.1,63,101800,0,0,205,0,0,0,0,0,0,0,210,3.1,0,0,16.1,77777,30
2018,1,2,23,0,-10.9,-15.6,69,101800,0,0,199,0,0,0,0,0,0,0,220,3.1,0,0,16.1,77777,30
2018,1,2,24,0,-9.8,-15.6,64,101800,0,0,211,0,0,0,0,0,0,0,220,3.2,3,3,16.1,77777,30
2018,1,3,1,0,-12.2,-16.7,70,101800,0,0,203,0,0,0,0,0,0,0,250,4.1,3,3,16.0,77777,30
2018,1,3,2,0,-11.0,-16.8,64,101800,0,0,206,0,0,0,0,0,0,0,200,2.1,3,3,16.1,77777,30
2018,1,3,3,0,-13.4,-17.2,74,101900,0,0,202,0,0,0,0,0,0,0,230,2.3,5,5,16.1,77777,30
2018,1,3,4,0,-13.9,-17.1,77,101900,0,0,199,0,0,0,0,0,0,0,170,3.1,4,4,16.1,77777,30
2018,1,3,5,0,-14.0,-16.8,80,101900,0,0,197,0,0,0,0,0,0,0,170,0.0,3,3,16.1,77777,30
2018,1,3,6,0,-14.2,-17.1,79,101900,0,0,199,0,0,0,0,0,0,0,110,0.3,5,5,16.1,7620,30
2018,1,3,7,0,-13.3,-16.7,76,101900,0,0,210,0,0,0,0,0,0,0,110,2.1,8,8,16.0,7620,30
2018,1,3,8,0,-14.6,-17.5,79,101900,41,838,198,15,125,11,1643,0,1233,46,230,1.3,5,5,16.1,7620,30
2018,1,3,9,0,-11.8,-16.0,72,102000,237,1411,204,105,249,63,11619,6329,7005,284,180,0.2,3,3,16.1,77777,30
2018,1,3,10,0,-9.2,-15.6,61,102000,409,1411,213,211,353,109,23621,20336,12233,523,180,1.7,3,3,16.1,77777,30
2018,1,3,11,0,-7.6,-15.7,54,101900,530,1411,218,307,468,131,34798,31691,14929,657,190,3.0,3,3,16.1,77777,30
2018,1,3,12,0,-6.5,-16.1,48,101800,589,1411,225,320,376,163,36153,28382,18498,834,210,2.6,5,5,16.1,7620,30
2018,1,3,13,0,-5.6,-16.1,45,101700,585,1411,236,262,196,181,29289,15486,20312,922,180,2.6,8,8,16.0,7620,30
2018,1,3,14,0,-4.8,-15.6,44,101600,515,1411,233,258,303,148,28919,21556,16633,738,160,3.9,6,6,16.1,7620,30
2018,1,3,15,0,-4.1,-15.6,42,101600,386,1411,234,196,339,103,21851,18497,11550,491,160,2.7,5,5,16.1,7620,30
2018,1,3,16,0,-5.1,-15.6,45,101500,207,1411,228,90,238,55,9909,3976,6067,243,160,3.6,4,4,16.1,7620,30
2018,1,3,17,0,-5.6,-15.6,47,101500,24,631,225,9,119,7,1026,0,796,29,180,3.4,3,3,16.1,77777,30
2018,1,3,18,0,-5.8,-15.6,48,101500,0,0,224,0,0,0,0,0,0,0,210,2.2,3,3,16.1,77777,30
2018,1,3,19,0,-7.2,-15.6,53,101500,0,0,223,0,0,0,0,0,0,0,200,2.6,5,5,16.0,77777,30
2018,1,3,20,0,-7.2,-15.0,55,101500,0,0,224,0,0,0,0,0,0,0,200,1.2,5,5,16.1,4267,30
2018,1,3,21,0,-7.7,-14.5,59,101500,0,0,222,0,0,0,0,0,0,0,200,0.0,5,5,16.1,4267,30
2018,1,3,22,0,-10.7,-15.0,71,101400,0,0,212,0,0,0,0,0,0,0,320,0.0,5,5,16.1,4267,30
2018,1,3,23,0,-11.5,-15.3,74,101400,0,0,209,0,0,0,0,0,0,0,320,0.4,5,5,16.1,77777,30
2018,1,3,24,0,-13.4,-16.4,79,101300,0,0,206,0,0,0,0,0,0,0,320,2.7,7,7,16.1,5806,30
2018,1,4,1,0,-9.4,-14.4,68,101000,0,0,236,0,0,0,0,0,0,0,10,2.6,10,10,16.0,6934,30
2018,1,4,2,0,-8.9,-14.3,66,100800,0,0,227,0,0,0,0,0,0,0,350,4.1,8,8,16.1,2746,30
2018,1,4,3,0,-8.8,-13.9,67,100700,0,0,221,0,0,0,0,0,0,0,360,4.3,6,6,15.4,1017,40
2018,1,4,4,0,-8.4,-13.7,66,100500,0,0,219,0,0,0,0,0,0,0,360,5.1,4,4,10.1,908,40
2018,1,4,5,0,-8.7,-12.1,77,100200,0,0,216,0,0,0,0,0,0,0,350,5.3,2,2,5.8,789,40
2018,1,4,6,0,-8.3,-10.1,87,100000,0,0,212,0,0,0,0,0,0,0,350,7.6,0,0,1.3,266,50
2018,1,4,7,0,-7.8,-9.4,88,99800,0,0,247,0,0,0,0,0,0,0,360,8.8,10,10,1.6,414,50
