Year,Month,Day,Hour,Minute,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Precipitable Water
2018,1,1,1,0,-19.4,-24.4,67,99100,0,0,194,0,0,0,0,0,0,0,260,2.6,10,10,16.0,816,20
2018,1,1,2,0,-19.5,-25.0,64,99100,0,0,193,0,0,0,0,0,0,0,270,2.6,10,10,16.1,759,20
2018,1,1,3,0,-20.0,-25.0,67,99100,0,0,192,0,0,0,0,0,0,0,260,2.6,10,10,16.1,735,20
2018,1,1,4,0,-20.0,-25.0,67,99100,0,0,192,0,0,0,0,0,0,0,260,2.6,10,10,16.0,762,20
2018,1,1,5,0,-20.1,-25.1,67,99100,0,0,191,0,0,0,0,0,0,0,290,2.7,10,10,16.1,762,20
2018,1,1,6,0,-20.6,-25.7,66,99200,0,0,189,0,0,0,0,0,0,0,290,3.5,10,10,16.1,762,20
2018,1,1,7,0,-20.6,-26.1,64,99200,0,0,189,0,0,0,0,0,0,0,270,2.6,10,10,16.0,774,10
2018,1,1,8,0,-21.0,-26.1,66,99200,38,854,188,3,6,3,373,0,354,12,270,2.1,10,10,16.1,889,10
2018,1,1,9,0,-19.9,-25.5,64,99200,209,1411,192,45,24,41,5071,245,4673,183,280,2.7,10,10,16.1,1018,20
2018,1,1,10,0,-19.4,-25.0,64,99300,351,1411,194,90,33,82,10125,1510,9230,384,290,4.1,10,10,16.0,1143,20
2018,1,1,11,0,-18.8,-24.9,61,99200,444,1411,183,182,160,132,20220,10561,14690,640,320,4.7,7,7,16.1,1135,20
2018,1,1,12,0,-18.2,-24.4,61,99100,480,1411,182,231,270,139,25774,18644,15584,684,310,5.5,5,5,16.1,701,20
2018,1,1,13,0,-17.8,-24.4,59,99100,455,1411,189,169,111,133,18852,7446,14914,651,310,4.6,8,8,16.0,768,20
2018,1,1,14,0,-17.8,-23.9,61,99100,373,1411,190,135,112,106,15014,6170,11778,501,300,4.5,8,8,16.1,819,20
2018,1,1,15,0,-17.8,-23.8,62,99100,239,1411,194,65,50,57,7271,1150,6340,254,300,4.0,9,9,16.1,789,20
2018,1,1,16,0,-17.8,-23.3,64,99200,75,1326,200,10,11,10,1233,0,1164,42,290,2.6,10,10,16.0,765,20
2018,1,1,17,0,-18.0,-22.8,68,99200,0,0,200,0,0,0,0,0,0,0,290,0.5,10,10,16.1,840,20
2018,1,1,18,0,-17.8,-22.2,70,99200,0,0,201,0,0,0,0,0,0,0,290,1.5,10,10,7.0,894,20
2018,1,1,19,0,-17.8,-23.3,64,99200,0,0,200,0,0,0,0,0,0,0,290,4.1,10,10,14.0,821,20
2018,1,1,20,0,-18.1,-23.3,66,99200,0,0,199,0,0,0,0,0,0,0,300,3.8,10,10,10.9,805,20
2018,1,1,21,0,-18.3,-23.3,67,99200,0,0,198,0,0,0,0,0,0,0,300,3.5,10,10,7.8,829,20
