Year,Month,Day,Hour,Minute,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Precipitable Water
2018,1,1,1,0,-12.2,-20.6,52,102900,0,0,191,0,0,0,0,0,0,0,300,2.6,0,0,16.0,77777,20
2018,1,1,2,0,-12.7,-20.7,54,103000,0,0,190,0,0,0,0,0,0,0,320,3.2,0,0,16.1,77777,20
2018,1,1,3,0,-12.3,-21.1,51,103000,0,0,190,0,0,0,0,0,0,0,310,3.5,0,0,16.1,77777,20
2018,1,1,4,0,-12.8,-21.1,52,103000,0,0,189,0,0,0,0,0,0,0,310,3.2,0,0,16.1,77777,20
2018,1,1,5,0,-12.8,-21.1,52,103000,0,0,189,0,0,0,0,0,0,0,320,4.0,0,0,16.1,77777,20
2018,1,1,6,0,-12.9,-21.1,53,103000,0,0,189,0,0,0,0,0,0,0,290,3.6,0,0,16.1,77777,20
2018,1,1,7,0,-13.9,-20.6,59,103100,0,0,186,0,0,0,0,0,0,0,260,3.1,0,0,16.0,77777,20
2018,1,1,8,0,-13.2,-20.0,59,103100,36,762,189,17,305,9,1926,0,1047,39,270,3.6,0,0,16.1,77777,20
2018,1,1,9,0,-12.0,-19.9,54,103200,237,1411,192,145,610,43,16534,9408,4865,191,280,3.6,0,0,16.1,77777,20
2018,1,1,10,0,-10.5,-19.5,50,103200,421,1411,197,299,809,58,35263,35537,6807,277,320,4.2,0,0,16.1,77777,20
2018,1,1,11,0,-9.3,-20.1,44,103100,554,1411,200,409,860,72,48920,47887,8617,363,310,5.2,0,0,16.1,77777,20
2018,1,1,12,0,-8.2,-20.7,39,103000,625,1411,203,478,915,73,57923,53578,8849,377,300,5.8,0,0,16.1,77777,20
2018,1,1,13,0,-7.2,-21.1,36,103000,630,1411,206,499,980,61,61301,55412,7548,318,320,7.2,0,0,16.0,77777,20
2018,1,1,14,0,-7.2,-19.9,39,102900,569,1411,216,355,571,125,40789,38590,14433,636,290,4.9,3,3,16.1,77777,20
2018,1,1,15,0,-7.2,-19.4,40,102900,444,1411,216,258,486,105,29178,28439,11886,509,280,7.2,3,3,16.1,77777,20
2018,1,1,16,0,-7.3,-19.3,41,102900,267,1411,219,130,321,69,14392,10284,7672,313,280,7.0,5,5,16.1,77777,20
2018,1,1,17,0,-7.8,-18.3,45,102900,57,970,217,25,160,19,2763,0,2055,79,270,5.0,4,4,16.1,77777,30
2018,1,1,18,0,-7.8,-17.7,47,103000,0,0,216,0,0,0,0,0,0,0,270,4.2,3,3,16.1,77777,30
2018,1,1,19,0,-7.8,-17.2,49,103000,0,0,216,0,0,0,0,0,0,0,270,4.6,3,3,16.0,77777,30
2018,1,1,20,0,-8.4,-17.2,51,103000,0,0,214,0,0,0,0,0,0,0,250,4.9,3,3,16.0,77777,30
2018,1,1,21,0,-8.8,-17.2,52,103000,0,0,211,0,0,0,0,0,0,0,250,5.0,2,2,16.1,77777,30
2018,1,1,22,0,-8.4,-17.3,51,103000,0,0,205,0,0,0,0,0,0,0,280,4.7,0,0,16.1,77777,30
2018,1,1,23,0,-9.0,-17.8,51,103100,0,0,203,0,0,0,0,0,0,0,280,5.7,0,0,16.1,77777,30
2018,1,1,24,0,-9.4,-17.9,52,103100,0,0,202,0,0,0,0,0,0,0,260,5.8,0,0,16.1,77777,30
2018,1,2,1,0,-9.4,-18.9,48,103100,0,0,201,0,0,0,0,0,0,0,290,7.7,0,0,16.0,77777,20
2018,1,2,2,0,-10.0,-18.9,50,103100,0,0,199,0,0,0,0,0,0,0,290,7.0,0,0,16.1,77777,20
2018,1,2,3,0,-10.1,-19.4,49,103100,0,0,198,0,0,0,0,0,0,0,280,5.1,0,0,16.1,77777,20
2018,1,2,4,0,-10.6,-19.3,51,103200,0,0,197,0,0,0,0,0,0,0,270,5.3,0,0,16.1,77777,20
2018,1,2,5,0,-10.6,-18.9,53,103200,0,0,197,0,0,0,0,0,0,0,280,6.7,0,0,16.1,77777,20
2018,1,2,6,0,-10.5,-18.9,52,103200,0,0,198,0,0,0,0,0,0,0,280,6.5,0,0,16.1,77777,20
2018,1,2,7,0,-10.0,-18.9,50,103200,0,0,199,0,0,0,0,0,0,0,280,5.1,0,0,16.0,77777,20
2018,1,2,8,0,-9.9,-18.3,52,103200,36,760,200,17,193,12,1883,0,1343,51,290,4.7,0,0,16.1,77777,30
2018,1,2,9,0,-8.7,-17.7,50,103300,237,1411,213,122,387,57,13561,8620,6345,255,260,5.2,3,3,16.1,77777,30
2018,1,2,10,0,-7.1,-17.1,47,103300,421,1411,219,245,494,97,27721,27221,11069,470,270,5.7,3,3,16.1,77777,30
2018,1,2,11,0,-6.6,-16.6,47,103300,555,1411,221,333,512,132,37937,35009,15051,664,290,5.9,3,3,16.1,77777,30
2018,1,2,12,0,-5.5,-16.1,45,103100,627,1411,225,387,544,146,44451,39292,16778,753,270,7.8,3,3,16.1,77777,30
2018,1,2,13,0,-5.0,-15.6,45,103100,633,1411,227,400,578,141,46036,41174,16271,729,270,8.8,3,3,16.0,77777,30
2018,1,2,14,0,-4.4,-15.0,45,103000,571,1411,230,350,540,131,40037,37005,15075,667,240,7.1,3,3,16.1,77777,30
2018,1,2,15,0,-4.4,-15.0,45,102900,448,1411,230,258,478,107,29181,28076,12092,519,270,6.5,3,3,16.1,77777,30
